Position,Track Name,Artist,Streams
184,The Real Slim Shady,Eminem,300505
185,Passionfruit,Drake,300081
186,Beautiful Crazy,Luke Combs,299977
187,We Found Love,Rihanna & Calvin Harris,299057
188,Runaway,Kanye West & Pusha T,298119
189,Everybody Wants To Rule The World,Tears For Fears,297689
190,505,Arctic Monkeys,297452
191,Why'd You Only Call Me When You're High?,Arctic Monkeys,295833
192,Run Away to Mars,TALK,294941
193,Oklahoma Smokeshow,Zach Bryan,294822
194,Straight and Narrow,Sam Barber,294757
195,WAIT FOR U (feat. Drake & Tems),Future & Drake & Tems,293462
196,Stargirl Interlude,The Weeknd & Lana Del Rey,293398
197,Just Wanna Rock,Lil Uzi Vert,291987
198,Every Breath You Take,The Police,291719
199,Super Shy,NewJeans,291530
200,STAY (with Justin Bieber),The Kid LAROI & Justin Bieber,290876
